State,x,y
Uttar Pradesh,-30,113
Rajasthan,-175,114
Gujarat,-235,35
Ladakh,-113,297
Jammu and Kashmir,-160,268
Himachal Pradesh,-119,228
Punjab,-151.0,195.0
Uttarakhand,-62.0,192.0
Haryana,-121.0,174.0
Chandigarh,-146.0,178.0
New Delhi,-109,145
Bihar,56,96
Sikkim,115.0,136.0
Arunachal Pradesh,227,159.0
Assam,187.0,116.0
Nagaland,241.0,111.0
Manipur,231.0,82.0
Mizoram,218.0,38.0
Tripura,186.0,55.0
Meghalaya,168.0,93.0
West Bengal,109.0,36
Jharkhand,49.0,47.0
Odisha,40.0,-20.0
Chhattisgarh,-21.0,-33.0
Madhya Pradesh,-122.0,28.0
DNH and DD,-207.0,-15.0
Maharashtra,-155,-50
Telangana,-77,-81
Andhra Pradesh,-66,-131
Goa,-177,-140
Karnataka,-160,-162
Kerala,-124,-270
Tamil Nadu,-86,-254
Puducherry,-54,-237
Lakshadweep,-210,-258
Andaman and Nicobar,230,-235
