,English,Gujarati
0,Namaste,નમસ્તે
1,Goodbye,આવજો
2,Good wishes,શુભેચ્છાઓ
3,Pardon me,માફ કરશો
4,Thank you,આભાર
5,Sorry,માફ કરશો
6,name,નામ
7,My,મારું
8,Please,કૃપા કરીને
9,Yes,હા
10,No,ના
11,time,સમય
12,Monday,સોમવાર
13,Wednesday,બુધવાર
14,Thursday,ગુરુવાર
15,Friday,શુક્રવાર
16,Saturday,શનિવાર
17,uneasiness,બેચેની
18,terrace   ,ટેરેસ
19,sharp,તીક્ષ્ણ
20,perfume,પરફ્યુમ
21,jealousy,ઈર્ષ્યા
22,favourable,અનુકૂળ
23,experience,અનુભવ
24,fire,આગ
25,far,દૂર
26,modern,આધુનિક
27,marble,માર્બલ
28,consolation,આશ્વાસન
29,hospital,હોસ્પિટલ
30,brick,ઈંટ
31,pronunciation,ઉચ્ચારણ
32,brightness,તેજ
33,solutions,ઉકેલો
34,luxury,વૈભવી
35,suddenly,અચાનક
36,tools,સાધનો
37,room,રૂમ
38,compartment,કમ્પાર્ટમેન્ટ
39,nagging,સતાવવું
40,slice,ટુકડા
41,hard,કઠણ
42,student,વિદ્યાર્થી
43,teacher,શિક્ષક
44,subject,વિષય
45,science,વિજ્ઞાન
46,assembly,એસેમ્બલી
47,assistant,મદદનીશ
48,carpenter,સુથાર
49,clever,હોંશિયાર
50,lawyer,વકીલ
51,length,લંબાઈ
52,rectangle,લંબચોરસ
53,chemistry,રસાયણશાસ્ત્ર
54,secondary school,માધ્યમિક શાળા
55,paragraph,ફકરો
56,company,કંપની
57,journalist,પત્રકાર
58,accounts,એકાઉન્ટ્સ
